Seed|Collisions|Spread|Total
291|1256123|1016661.31591|2272784.31591
292|1256611|1017720.17492|2274331.17492
293|1257427|1017402.76269|2274829.76269
294|1256265|1015920.21776|2272185.21776
295|1256026|1016486.41044|2272512.41044
296|1256018|1015833.11638|2271851.11638
297|1256112|1017493.49184|2273605.49184
298|1255989|1015196.05799|2271185.05799
299|1256131|1016925.34831|2273056.34831
300|1255952|1016146.34639|2272098.34639
301|1256966|1016345.11082|2273311.11082
302|1255668|1015376.43190|2271044.43190
303|1256053|1015817.12226|2271870.12226
304|1256154|1016813.39111|2272967.39111
305|1257054|1018147.24920|2275201.24920
306|1256665|1017120.29326|2273785.29326
307|1256487|1017859.41436|2274346.41436
308|1255562|1016503.60483|2272065.60483
309|1254584|1015617.81732|2270201.81732
310|1254982|1015971.90515|2270953.90515
311|1257484|1017691.94357|2275175.94357
312|1255807|1016328.52853|2272135.52853
313|1255253|1015941.45906|2271194.45906
314|1255552|1016686.48333|2272238.48333
315|1257613|1017785.81140|2275398.81140
316|1255936|1015895.26263|2271831.26263
317|1256698|1015860.05991|2272558.05991
318|1254484|1016072.03872|2270556.03872
319|1256323|1015217.99427|2271540.99427
320|1255392|1014995.72576|2270387.72576
321|1254909|1015856.89898|2270765.89898
322|1254730|1015156.56187|2269886.56187
323|1255623|1014573.40545|2270196.40545
324|1256766|1016471.06157|2273237.06157
325|1254969|1015885.84563|2270854.84563
326|1255819|1016029.37074|2271848.37074
327|1256400|1016299.28178|2272699.28178
328|1255232|1015427.72037|2270659.72037
329|1256382|1016999.14311|2273381.14311
330|1256384|1016465.31445|2272849.31445
331|1255376|1014982.41736|2270358.41736
332|1255786|1015506.18224|2271292.18224
333|1255713|1016133.52125|2271846.52125
334|1255129|1015656.59236|2270785.59236
335|1255130|1015380.65277|2270510.65277
336|1255673|1015957.55273|2271630.55273
337|1256668|1016215.15250|2272883.15250
338|1255451|1015261.53915|2270712.53915
339|1255816|1016269.43709|2272085.43709
340|1255695|1016416.56610|2272111.56610
341|1256271|1017614.64843|2273885.64843
342|1256711|1016392.09708|2273103.09708
343|1256770|1016628.18907|2273398.18907
344|1257933|1018745.94968|2276678.94968
345|1256431|1015999.17987|2272430.17987
346|1256818|1016498.80408|2273316.80408
347|1255017|1015643.73293|2270660.73293
348|1254318|1014771.05678|2269089.05678
349|1254795|1015641.85454|2270436.85454
350|1254585|1015970.92212|2270555.92212
351|1254329|1014687.97979|2269016.97979
352|1255475|1016321.68387|2271796.68387
353|1255188|1015938.69421|2271126.69421
354|1255991|1016910.43411|2272901.43411
355|1255617|1015494.48584|2271111.48584
356|1254928|1015675.79420|2270603.79420
357|1255917|1017410.54252|2273327.54252
358|1255337|1016413.70539|2271750.70539
359|1255992|1018306.73132|2274298.73132
360|1255486|1015927.54789|2271413.54789
361|1255680|1016071.50651|2271751.50651
362|1255172|1016658.79711|2271830.79711
363|1257230|1016036.77941|2273266.77941
364|1255274|1016552.76655|2271826.76655
365|1256717|1015846.99578|2272563.99578
366|1256962|1017041.23397|2274003.23397
367|1256550|1017002.55241|2273552.55241
368|1256027|1015658.30316|2271685.30316
369|1256199|1016518.45067|2272717.45067
370|1255353|1015532.72876|2270885.72876
371|1255842|1016836.47841|2272678.47841
372|1256792|1016208.04124|2273000.04124
373|1255265|1016600.80377|2271865.80377
374|1256717|1017963.22824|2274680.22824
375|1254445|1014145.78957|2268590.78957
376|1256431|1017243.37483|2273674.37483
377|1256359|1016615.32923|2272974.32923
378|1255649|1014947.29888|2270596.29888
379|1254257|1016562.34078|2270819.34078
380|1254687|1017329.18671|2272016.18671
381|1256825|1017332.97274|2274157.97274
382|1254440|1014886.63968|2269326.63968
383|1254017|1014400.90452|2268417.90452
384|1253566|1015399.37522|2268965.37522
385|1254975|1015376.52066|2270351.52066
386|1257052|1017705.05072|2274757.05072
387|1255423|1016190.63997|2271613.63997
388|1256707|1017631.24196|2274338.24196
389|1255725|1016596.40981|2272321.40981
390|1255644|1016579.66193|2272223.66193
391|1256259|1015881.08626|2272140.08626
392|1255029|1015827.79442|2270856.79442
393|1256390|1016984.21550|2273374.21550
394|1255842|1016968.23705|2272810.23705
395|1255511|1017472.55071|2272983.55071
396|1255873|1016545.56484|2272418.56484
397|1254764|1015947.95047|2270711.95047
398|1255870|1016193.47206|2272063.47206
399|1254849|1015102.64995|2269951.64995
400|1254833|1015741.86458|2270574.86458
401|1255898|1017298.46833|2273196.46833
402|1255814|1015374.18834|2271188.18834
403|1256964|1016138.82579|2273102.82579
404|1255738|1016149.34869|2271887.34869
405|1255072|1015426.63028|2270498.63028
406|1256691|1017218.26696|2273909.26696
407|1255169|1015977.68086|2271146.68086
408|1256482|1017988.26213|2274470.26213
409|1254456|1016197.94936|2270653.94936
410|1256365|1017246.50041|2273611.50041
411|1254610|1014063.63787|2268673.63787
412|1255051|1015428.61939|2270479.61939
413|1255154|1016410.69834|2271564.69834
414|1255115|1016531.73534|2271646.73534
415|1255723|1016031.42913|2271754.42913
416|1253454|1013953.11940|2267407.11940
417|1254721|1015478.78011|2270199.78011
418|1256243|1015666.23602|2271909.23602
419|1255245|1014967.52126|2270212.52126
420|1256643|1015834.00451|2272477.00451
421|1256027|1016657.55899|2272684.55899
422|1255034|1015954.76960|2270988.76960
423|1256595|1016385.10902|2272980.10902
424|1255726|1014506.13171|2270232.13171
425|1256521|1017094.30896|2273615.30896
426|1256918|1016453.14136|2273371.14136
427|1255895|1016004.33212|2271899.33212
428|1256156|1016824.45112|2272980.45112
429|1255464|1015063.36712|2270527.36712
430|1255128|1014825.45098|2269953.45098
431|1257502|1017407.88179|2274909.88179
432|1256727|1016501.93105|2273228.93105
433|1254951|1014637.76127|2269588.76127
434|1254825|1014950.68756|2269775.68756
435|1257072|1016687.00184|2273759.00184
436|1257527|1017306.84719|2274833.84719
437|1255470|1016708.52880|2272178.52880
438|1255245|1015196.46049|2270441.46049
439|1255554|1016105.60800|2271659.60800
440|1256474|1016967.21710|2273441.21710
441|1256181|1017112.37443|2273293.37443
442|1253880|1014221.01548|2268101.01548
443|1256442|1016245.16848|2272687.16848
444|1255757|1016762.46161|2272519.46161
445|1253790|1014044.15243|2267834.15243
446|1255091|1014873.48463|2269964.48463
447|1255715|1015748.32054|2271463.32054
448|1255488|1015930.44232|2271418.44232
449|1256444|1016352.31809|2272796.31809
450|1255626|1015924.30618|2271550.30618
451|1256446|1014794.94827|2271240.94827
452|1256197|1016838.43399|2273035.43399
453|1255831|1014934.17285|2270765.17285
454|1256250|1016356.11167|2272606.11167
455|1255959|1016178.37739|2272137.37739
456|1256193|1015679.23638|2271872.23638
457|1255415|1015628.51085|2271043.51085
458|1255717|1015382.35509|2271099.35509
459|1257317|1017492.92624|2274809.92624
460|1256217|1016620.26056|2272837.26056
461|1255127|1016419.82107|2271546.82107
462|1255369|1016519.95005|2271888.95005
463|1256324|1016058.29337|2272382.29337
464|1256563|1017038.11321|2273601.11321
465|1256678|1017133.41337|2273811.41337
466|1255557|1016371.40908|2271928.40908
467|1256300|1016480.35839|2272780.35839
468|1256318|1016423.03052|2272741.03052
469|1254132|1014145.88705|2268277.88705
470|1256618|1016894.35609|2273512.35609
471|1255729|1016699.56139|2272428.56139
472|1255154|1015235.49703|2270389.49703
473|1255093|1014762.78557|2269855.78557
474|1256959|1016331.90982|2273290.90982
475|1255663|1016827.59483|2272490.59483
476|1255335|1016801.77789|2272136.77789
477|1255581|1017064.70976|2272645.70976
478|1255514|1016974.59734|2272488.59734
479|1255399|1015966.45723|2271365.45723
480|1256928|1017765.04477|2274693.04477
481|1255989|1015848.22077|2271837.22077
482|1256996|1017977.13935|2274973.13935
483|1255899|1016086.32304|2271985.32304
484|1258432|1018219.60217|2276651.60217
485|1256274|1016887.40047|2273161.40047
486|1256058|1016863.43364|2272921.43364
487|1256545|1017088.42535|2273633.42535
488|1256686|1016477.26423|2273163.26423
489|1256845|1017331.91055|2274176.91055
490|1255823|1017127.73150|2272950.73150
491|1255706|1015823.23927|2271529.23927
492|1256238|1017340.35249|2273578.35249
493|1255039|1016340.84610|2271379.84610
494|1256410|1016848.14336|2273258.14336
495|1255468|1016238.67887|2271706.67887
496|1256184|1016824.57041|2273008.57041
497|1255541|1016229.60150|2271770.60150
498|1256880|1017812.07398|2274692.07398
499|1256505|1015679.01901|2272184.01901
500|1254382|1015742.05700|2270124.05700
501|1255591|1016763.58235|2272354.58235
502|1256308|1016180.12947|2272488.12947
503|1255156|1017189.96061|2272345.96061
504|1256497|1016599.03831|2273096.03831
505|1254964|1015941.92002|2270905.92002
506|1255112|1015334.59194|2270446.59194
507|1255960|1016147.30535|2272107.30535
508|1255128|1017130.99620|2272258.99620
509|1254441|1015151.96495|2269592.96495
510|1256130|1017059.43031|2273189.43031
511|1254836|1015822.81990|2270658.81990
512|1254536|1016317.16615|2270853.16615
513|1254462|1015261.03766|2269723.03766
514|1254757|1015169.61711|2269926.61711
515|1254727|1014143.71142|2268870.71142
516|1255338|1016314.62599|2271652.62599
517|1256013|1017147.34633|2273160.34633
518|1255040|1016470.71609|2271510.71609
519|1255255|1015181.50061|2270436.50061
520|1255874|1015407.17281|2271281.17281
521|1255009|1015156.70391|2270165.70391
522|1254273|1014101.81300|2268374.81300
523|1256530|1016766.21377|2273296.21377
524|1254458|1015058.83136|2269516.83136
525|1256033|1017938.53787|2273971.53787
526|1256924|1016759.10116|2273683.10116
527|1255586|1016044.64009|2271630.64009
528|1256037|1016321.27191|2272358.27191
529|1255393|1015063.34060|2270456.34060
530|1254765|1015549.76288|2270314.76288
531|1254770|1014933.57794|2269703.57794
532|1254892|1015141.65398|2270033.65398
533|1256358|1017949.61115|2274307.61115
534|1256565|1017944.36140|2274509.36140
535|1256722|1017972.20700|2274694.20700
536|1255215|1015973.66089|2271188.66089
537|1256920|1017184.95079|2274104.95079
538|1255877|1015872.30467|2271749.30467
539|1255335|1015688.46763|2271023.46763
540|1256252|1017013.22395|2273265.22395
541|1255745|1016704.40680|2272449.40680
542|1254495|1013622.84619|2268117.84619
543|1255044|1017119.84076|2272163.84076
544|1254327|1016456.19124|2270783.19124
545|1255392|1016787.63276|2272179.63276
546|1255373|1015753.46603|2271126.46603
547|1253756|1015175.10156|2268931.10156
548|1255437|1015972.51501|2271409.51501
549|1256954|1016363.00027|2273317.00027
550|1255084|1016390.63573|2271474.63573
551|1254628|1014623.80856|2269251.80856
552|1255692|1015761.50008|2271453.50008
553|1256971|1016370.97633|2273341.97633
554|1254002|1013981.97411|2267983.97411
555|1254605|1014294.86227|2268899.86227
556|1256356|1016401.25849|2272757.25849
557|1255068|1016185.90188|2271253.90188
558|1255634|1014432.34169|2270066.34169
559|1255906|1016485.23509|2272391.23509
560|1255691|1015317.55595|2271008.55595
561|1256387|1016429.25044|2272816.25044
562|1256115|1017296.42414|2273411.42414
563|1257859|1017869.76817|2275728.76817
564|1255998|1016862.35055|2272860.35055
565|1255668|1016286.70779|2271954.70779
566|1255421|1015359.41941|2270780.41941
567|1254328|1015604.05167|2269932.05167
568|1255689|1015582.40237|2271271.40237
569|1255284|1016373.39723|2271657.39723
570|1256285|1016763.24892|2273048.24892
571|1256325|1016516.09892|2272841.09892
572|1255604|1016001.39766|2271605.39766
573|1255890|1015488.24479|2271378.24479
574|1255919|1015586.33385|2271505.33385
575|1256910|1016356.87950|2273266.87950
576|1257043|1017456.86061|2274499.86061
577|1256401|1015346.01046|2271747.01046
578|1255495|1016131.46912|2271626.46912
579|1255705|1015485.35431|2271190.35431
580|1256963|1016645.94032|2273608.94032
581|1255423|1014741.45445|2270164.45445
582|1256058|1015672.21064|2271730.21064
583|1256793|1017613.26403|2274406.26403
584|1255634|1017150.68914|2272784.68914
585|1257476|1017463.93227|2274939.93227
586|1255182|1015445.55718|2270627.55718
587|1255287|1015685.61419|2270972.61419
588|1256614|1016637.24506|2273251.24506
589|1256698|1017940.40461|2274638.40461
590|1256857|1018032.34357|2274889.34357
591|1255582|1016517.45304|2272099.45304
592|1256882|1016891.11451|2273773.11451
593|1256093|1016927.25442|2273020.25442
594|1255023|1015690.66137|2270713.66137
595|1255328|1016493.63497|2271821.63497
596|1255507|1015776.39755|2271283.39755
597|1255660|1016679.45405|2272339.45405
598|1255847|1017579.77572|2273426.77572
599|1256700|1017642.26455|2274342.26455
600|1254632|1015190.92732|2269822.92732
601|1257244|1018581.22131|2275825.22131
602|1256694|1016392.00101|2273086.00101
603|1255302|1015468.55728|2270770.55728
604|1254184|1016046.12247|2270230.12247
605|1254786|1015297.80632|2270083.80632
606|1256146|1017165.45470|2273311.45470
607|1255568|1015027.40189|2270595.40189
608|1256788|1016823.12065|2273611.12065
609|1256714|1017171.22193|2273885.22193
610|1257501|1016982.75164|2274483.75164
611|1255365|1015615.67935|2270980.67935
612|1256308|1017918.38687|2274226.38687
613|1255714|1015503.42917|2271217.42917
614|1254891|1015941.82139|2270832.82139
615|1255638|1016809.67618|2272447.67618
616|1256743|1016917.13191|2273660.13191
617|1255116|1016180.73000|2271296.73000
618|1254907|1015667.86095|2270574.86095
619|1255818|1015484.14929|2271302.14929
620|1255875|1015086.26215|2270961.26215
621|1254651|1013521.61442|2268172.61442
622|1256261|1016190.30023|2272451.30023
623|1255310|1015949.51610|2271259.51610
624|1255333|1013953.32800|2269286.32800
625|1255879|1015192.32197|2271071.32197
626|1256004|1016976.39845|2272980.39845
627|1255925|1015795.31802|2271720.31802
628|1256014|1015608.35866|2271622.35866
629|1254279|1014693.91877|2268972.91877
630|1255935|1016509.32699|2272444.32699
631|1254152|1013964.92884|2268116.92884
632|1255590|1016839.75050|2272429.75050
633|1255570|1016691.77962|2272261.77962
634|1254888|1015205.70172|2270093.70172
635|1254780|1016131.00036|2270911.00036
636|1254098|1013729.89222|2267827.89222
637|1255306|1015290.51700|2270596.51700
638|1255439|1016312.56417|2271751.56417
639|1254226|1013940.89954|2268166.89954
640|1254936|1015954.65688|2270890.65688
641|1254354|1014552.69441|2268906.69441
642|1254902|1014684.77620|2269586.77620
643|1256085|1016107.48188|2272192.48188
644|1254734|1015055.58431|2269789.58431
645|1256170|1015804.37870|2271974.37870
646|1255358|1015722.73426|2271080.73426
647|1254910|1014656.65631|2269566.65631
648|1255396|1015160.39824|2270556.39824
649|1255678|1015591.32012|2271269.32012
650|1256572|1017040.11664|2273612.11664
651|1254943|1016071.91121|2271014.91121
652|1256593|1017073.29319|2273666.29319
653|1256718|1017856.34814|2274574.34814
654|1256453|1015852.17886|2272305.17886
655|1255843|1015183.37728|2271026.37728
656|1256554|1016114.10352|2272668.10352
657|1255617|1016071.55681|2271688.55681
658|1255980|1016644.18779|2272624.18779
659|1256210|1016172.09913|2272382.09913
660|1256924|1016985.94961|2273909.94961
661|1254542|1014727.98696|2269269.98696
662|1254981|1016173.81895|2271154.81895
663|1255196|1015661.66424|2270857.66424
664|1255768|1015726.42133|2271494.42133
665|1254806|1015691.84461|2270497.84461
666|1256842|1016870.15870|2273712.15870
667|1256226|1016602.35618|2272828.35618
668|1255004|1015344.77351|2270348.77351
669|1255694|1015873.49344|2271567.49344
670|1254516|1016030.90696|2270546.90696
671|1256483|1017236.23255|2273719.23255
672|1254638|1015025.01383|2269663.01383
673|1254562|1015067.91932|2269629.91932
674|1255708|1016797.55799|2272505.55799
675|1253920|1014643.10673|2268563.10673
676|1254870|1014892.60629|2269762.60629
677|1255503|1015711.55794|2271214.55794
678|1253666|1013025.81404|2266691.81404
679|1255061|1015215.64661|2270276.64661
680|1254523|1015223.90223|2269746.90223
681|1256406|1016408.21448|2272814.21448
682|1255134|1016360.79750|2271494.79750
683|1255283|1016643.75615|2271926.75615
684|1254294|1014436.74888|2268730.74888
685|1253940|1014658.90347|2268598.90347
686|1256231|1016850.45589|2273081.45589
687|1256035|1014512.04871|2270547.04871
688|1255267|1016175.67276|2271442.67276
689|1253985|1014794.84275|2268779.84275
690|1255312|1015622.56263|2270934.56263
691|1255570|1016242.49504|2271812.49504
692|1255586|1015383.40704|2270969.40704
693|1256429|1018368.34292|2274797.34292
694|1254355|1015149.71756|2269504.71756
695|1254931|1016169.87907|2271100.87907
